PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
1 2
-5.48040E-05 3.86264E-07 
-5.09888E-05 3.83620E-07 
-4.71138E-05 3.80935E-07 
-4.31824E-05 3.78212E-07 
-3.91976E-05 3.75451E-07 
-3.51626E-05 3.72655E-07 
-3.10802E-05 3.69827E-07 
-2.69535E-05 3.66967E-07 
-1.21261E-04 5.15095E-07 
-1.18714E-04 5.13208E-07 
-1.16069E-04 5.11247E-07 
-1.13326E-04 5.09214E-07 
-1.10487E-04 5.07109E-07 
-1.07551E-04 5.04934E-07 
-1.04521E-04 5.02688E-07 
-1.02113E-04 5.00903E-07 
-1.01399E-04 5.00373E-07 
-9.79301E-05 4.97802E-07 
-9.43584E-05 4.95155E-07 
-9.06864E-05 4.92433E-07 
-8.69174E-05 4.89640E-07 
-8.30546E-05 4.86776E-07 
-7.91015E-05 4.83846E-07 
-7.50617E-05 4.80852E-07 
-7.09388E-05 4.77796E-07 
-6.67367E-05 4.74681E-07 
-6.24590E-05 4.71511E-07 
-5.81095E-05 4.68287E-07 
-5.36920E-05 4.65013E-07 
-4.92100E-05 4.61691E-07 
-4.46672E-05 4.58323E-07 
-4.00671E-05 4.54914E-07 
-3.54131E-05 4.51464E-07 
-3.07085E-05 4.47977E-07 
-1.38253E-04 6.29513E-07 
-1.35349E-04 6.27208E-07 
-1.32332E-04 6.24814E-07 
-1.29205E-04 6.22332E-07 
-1.25967E-04 6.19762E-07 
-1.22619E-04 6.17106E-07 
-1.19165E-04 6.14363E-07 
-1.16419E-04 6.12184E-07 
-1.15604E-04 6.11538E-07 
-1.11648E-04 6.08398E-07 
-1.07576E-04 6.05166E-07 
-1.03388E-04 6.01843E-07 
-9.90904E-05 5.98431E-07 
-9.46856E-05 5.94936E-07 
-9.01778E-05 5.91358E-07 
-8.55712E-05 5.87702E-07 
-8.08699E-05 5.83971E-07 
-7.60781E-05 5.80168E-07 
-7.12002E-05 5.76296E-07 
-6.62405E-05 5.72360E-07 
-6.12031E-05 5.68362E-07 
-5.60922E-05 5.64306E-07 
-5.09120E-05 5.60194E-07 
-4.56664E-05 5.56031E-07 
-4.03594E-05 5.51819E-07 
-3.49946E-05 5.47561E-07 
-1.57666E-04 7.70463E-07 
-1.54354E-04 7.67645E-07 
-1.50913E-04 7.64718E-07 
-1.47346E-04 7.61683E-07 
-1.43652E-04 7.58541E-07 
-1.39835E-04 7.55293E-07 
-1.35894E-04 7.51941E-07 
-1.32762E-04 7.49276E-07 
-1.31832E-04 7.48486E-07 
-1.27321E-04 7.44648E-07 
-1.22675E-04 7.40696E-07 
-1.17899E-04 7.36633E-07 
-1.12997E-04 7.32462E-07 
-1.07973E-04 7.28188E-07 
-1.02831E-04 7.23814E-07 
-9.75769E-05 7.19344E-07 
-9.22145E-05 7.14783E-07 
-8.67490E-05 7.10133E-07 
-8.11852E-05 7.05400E-07 
-7.55280E-05 7.00587E-07 
-6.97823E-05 6.95699E-07 
-6.39529E-05 6.90740E-07 
-5.80443E-05 6.85714E-07 
-5.20611E-05 6.80624E-07 
-4.60079E-05 6.75474E-07 
-3.98888E-05 6.70269E-07 
-1.79854E-04 9.44567E-07 
-1.76075E-04 9.41116E-07 
-1.72150E-04 9.37533E-07 
-1.68080E-04 9.33817E-07 
-1.63866E-04 9.29970E-07 
-1.59510E-04 9.25993E-07 
-1.55014E-04 9.21888E-07 
-1.51440E-04 9.18625E-07 
-1.50380E-04 9.17657E-07 
-1.45233E-04 9.12958E-07 
-1.39932E-04 9.08119E-07 
-1.34483E-04 9.03144E-07 
-1.28890E-04 8.98037E-07 
-1.23158E-04 8.92804E-07 
-1.17292E-04 8.87448E-07 
-1.11297E-04 8.81975E-07 
-1.05179E-04 8.76389E-07 
-9.89432E-05 8.70696E-07 
-9.25953E-05 8.64900E-07 
-8.61409E-05 8.59008E-07 
-7.95855E-05 8.53022E-07 
-7.29345E-05 8.46950E-07 
-6.61932E-05 8.40795E-07 
-5.93669E-05 8.34563E-07 
-5.24606E-05 8.28258E-07 
-4.54792E-05 8.21884E-07 
-2.05224E-04 1.16030E-06 
-2.00910E-04 1.15606E-06 
-1.96431E-04 1.15167E-06 
-1.91786E-04 1.14711E-06 
-1.86977E-04 1.14239E-06 
-1.82005E-04 1.13751E-06 
-1.76874E-04 1.13248E-06 
-1.72796E-04 1.12848E-06 
